ID,REGION_PARENT,REGION_CHILD,NX,NY
1,서울특별시,,60,127
2,서울특별시,종로구,60,127
3,서울특별시,중구,60,127
4,서울특별시,용산구,60,126
5,서울특별시,성동구,61,127
6,서울특별시,광진구,62,126
7,서울특별시,동대문구,61,127
8,서울특별시,중랑구,62,128
9,서울특별시,성북구,61,127
10,서울특별시,강북구,61,128
11,서울특별시,도봉구,61,129
12,서울특별시,노원구,61,129
13,서울특별시,은평구,59,127
14,서울특별시,서대문구,59,127
15,서울특별시,마포구,59,127
16,서울특별시,양천구,58,126
17,서울특별시,강서구,58,126
18,서울특별시,구로구,58,125
19,서울특별시,금천구,59,124
20,서울특별시,영등포구,58,126
21,서울특별시,동작구,59,125
22,서울특별시,관악구,59,125
23,서울특별시,서초구,61,125
24,서울특별시,강남구,61,126
25,서울특별시,송파구,62,126
26,서울특별시,강동구,62,126
27,부산광역시,,98,76
28,부산광역시,중구,97,74
29,부산광역시,서구,97,74
30,부산광역시,동구,98,75
31,부산광역시,영도구,98,74
32,부산광역시,부산진구,97,75
33,부산광역시,동래구,98,76
34,부산광역시,남구,98,75
35,부산광역시,북구,96,76
36,부산광역시,해운대구,99,75
37,부산광역시,사하구,96,74
38,부산광역시,금정구,98,77
39,부산광역시,강서구,96,76
40,부산광역시,연제구,98,76
41,부산광역시,수영구,99,75
42,부산광역시,사상구,96,75
43,부산광역시,기장군,100,77
44,대구광역시,,89,90
45,대구광역시,중구,89,90
46,대구광역시,동구,90,91
47,대구광역시,서구,88,90
48,대구광역시,남구,89,90
49,대구광역시,북구,89,91
50,대구광역시,수성구,89,90
51,대구광역시,달서구,88,90
52,대구광역시,달성군,86,88
53,대구광역시,군위군,88,99
54,인천광역시,,55,124
55,인천광역시,중구,54,125
56,인천광역시,동구,54,125
57,인천광역시,미추홀구,54,124
58,인천광역시,연수구,55,123
59,인천광역시,남동구,56,124
60,인천광역시,부평구,55,125
61,인천광역시,계양구,56,126
62,인천광역시,서구,55,126
63,인천광역시,강화군,51,130
64,인천광역시,옹진군,54,124
65,광주광역시,,58,74
66,광주광역시,동구,60,74
67,광주광역시,서구,59,74
68,광주광역시,남구,59,73
69,광주광역시,북구,59,75
70,광주광역시,광산구,57,74
71,대전광역시,,67,100
72,대전광역시,동구,68,100
73,대전광역시,중구,68,100
74,대전광역시,서구,67,100
75,대전광역시,유성구,67,101
76,대전광역시,대덕구,68,100
77,울산광역시,,102,84
78,울산광역시,중구,102,84
79,울산광역시,남구,102,84
80,울산광역시,동구,104,83
81,울산광역시,북구,103,85
82,울산광역시,울주군,101,84
83,세종특별자치시,,66,103
84,세종특별자치시,세종특별자치시,66,103
85,경기도,,60,120
86,경기도,수원시장안구,60,121
87,경기도,수원시권선구,60,120
88,경기도,수원시팔달구,61,121
89,경기도,수원시영통구,61,120
90,경기도,성남시수정구,63,124
91,경기도,성남시중원구,63,124
92,경기도,성남시분당구,62,123
93,경기도,의정부시,61,130
94,경기도,안양시만안구,59,123
95,경기도,안양시동안구,59,123
96,경기도,부천시,56,125
97,경기도,광명시,58,125
98,경기도,평택시,62,114
99,경기도,동두천시,61,134
100,경기도,안산시상록구,58,121
101,경기도,안산시단원구,57,121
102,경기도,고양시덕양구,57,128
103,경기도,고양시일산동구,56,129
104,경기도,고양시일산서구,56,129
105,경기도,과천시,60,124
106,경기도,구리시,62,127
107,경기도,남양주시,64,128
108,경기도,오산시,62,118
109,경기도,시흥시,57,123
110,경기도,군포시,59,122
111,경기도,의왕시,60,122
112,경기도,하남시,64,126
113,경기도,용인시처인구,64,119
114,경기도,용인시기흥구,62,120
115,경기도,용인시수지구,62,121
116,경기도,파주시,56,131
117,경기도,이천시,68,121
118,경기도,안성시,65,115
119,경기도,김포시,55,128
120,경기도,화성시,57,119
121,경기도,광주시,65,123
122,경기도,양주시,61,131
123,경기도,포천시,64,134
124,경기도,여주시,71,121
125,경기도,연천군,61,138
126,경기도,가평군,69,133
127,경기도,양평군,69,125
128,강원도,,73,134
129,강원도,춘천시,73,134
130,강원도,원주시,76,122
131,강원도,강릉시,92,131
132,강원도,동해시,97,127
133,강원도,태백시,95,119
134,강원도,속초시,87,141
135,강원도,삼척시,98,125
136,강원도,홍천군,75,130
137,강원도,횡성군,77,125
138,강원도,영월군,86,119
139,강원도,평창군,84,123
140,강원도,정선군,89,123
141,강원도,철원군,65,139
142,강원도,화천군,72,139
143,강원도,양구군,77,139
144,강원도,인제군,80,138
145,강원도,고성군,85,145
146,강원도,양양군,88,138
147,충청북도,,69,107
148,충청북도,청주시상당구,69,106
149,충청북도,청주시서원구,69,107
150,충청북도,청주시흥덕구,67,106
151,충청북도,청주시청원구,69,107
152,충청북도,충주시,76,114
153,충청북도,제천시,81,118
154,충청북도,보은군,73,103
155,충청북도,옥천군,71,99
156,충청북도,영동군,74,97
157,충청북도,증평군,71,110
158,충청북도,진천군,68,111
159,충청북도,괴산군,74,111
160,충청북도,음성군,72,113
161,충청북도,단양군,84,115
162,충청남도,,68,100
163,충청남도,천안시동남구,63,110
164,충청남도,천안시서북구,63,112
165,충청남도,공주시,63,102
166,충청남도,보령시,54,100
167,충청남도,아산시,60,110
168,충청남도,서산시,51,110
169,충청남도,논산시,62,97
170,충청남도,계룡시,65,99
171,충청남도,당진시,54,112
172,충청남도,금산군,69,95
173,충청남도,부여군,59,99
174,충청남도,서천군,55,94
175,충청남도,청양군,57,103
176,충청남도,홍성군,55,106
177,충청남도,예산군,58,107
178,충청남도,태안군,48,109
179,전라북도,,63,89
180,전라북도,전주시완산구,63,89
181,전라북도,전주시덕진구,63,89
182,전라북도,군산시,56,92
183,전라북도,익산시,60,91
184,전라북도,정읍시,58,83
185,전라북도,남원시,68,80
186,전라북도,김제시,59,88
187,전라북도,완주군,63,89
188,전라북도,진안군,68,88
189,전라북도,무주군,72,93
190,전라북도,장수군,70,85
191,전라북도,임실군,66,84
192,전라북도,순창군,63,79
193,전라북도,고창군,56,80
194,전라북도,부안군,56,87
195,전라남도,,51,67
196,전라남도,목포시,50,67
197,전라남도,여수시,73,66
198,전라남도,순천시,70,70
199,전라남도,나주시,56,71
200,전라남도,광양시,73,70
201,전라남도,담양군,61,78
202,전라남도,곡성군,66,77
203,전라남도,구례군,69,75
204,전라남도,고흥군,66,62
205,전라남도,보성군,62,66
206,전라남도,화순군,61,72
207,전라남도,장흥군,59,64
208,전라남도,강진군,57,63
209,전라남도,해남군,54,61
210,전라남도,영암군,56,66
211,전라남도,무안군,52,71
212,전라남도,함평군,52,72
213,전라남도,영광군,52,77
214,전라남도,장성군,57,77
215,전라남도,완도군,57,56
216,전라남도,진도군,48,59
217,전라남도,신안군,50,66
218,경상북도,,89,91
219,경상북도,포항시남구,102,94
220,경상북도,포항시북구,102,95
221,경상북도,경주시,100,91
222,경상북도,김천시,80,96
223,경상북도,안동시,91,106
224,경상북도,구미시,84,96
225,경상북도,영주시,89,111
226,경상북도,영천시,95,93
227,경상북도,상주시,81,102
228,경상북도,문경시,81,106
229,경상북도,경산시,91,90
230,경상북도,의성군,90,101
231,경상북도,청송군,96,103
232,경상북도,영양군,97,108
233,경상북도,영덕군,102,103
234,경상북도,청도군,91,86
235,경상북도,고령군,83,87
236,경상북도,성주군,83,91
237,경상북도,칠곡군,85,93
238,경상북도,예천군,86,107
239,경상북도,봉화군,90,113
240,경상북도,울진군,102,115
241,경상북도,울릉군,127,127
242,경상남도,,91,77
243,경상남도,창원시의창구,90,77
244,경상남도,창원시성산구,91,76
245,경상남도,창원시마산합포구,89,76
246,경상남도,창원시마산회원구,89,76
247,경상남도,창원시진해구,91,75
248,경상남도,진주시,81,75
249,경상남도,통영시,87,68
250,경상남도,사천시,80,71
251,경상남도,김해시,95,77
252,경상남도,밀양시,92,83
253,경상남도,거제시,90,69
254,경상남도,양산시,97,79
255,경상남도,의령군,83,78
256,경상남도,함안군,86,77
257,경상남도,창녕군,87,83
258,경상남도,고성군,85,71
259,경상남도,남해군,77,68
260,경상남도,하동군,74,73
261,경상남도,산청군,76,80
262,경상남도,함양군,74,82
263,경상남도,거창군,77,86
264,경상남도,합천군,81,84
265,제주특별자치도,,52,38
266,제주특별자치도,제주시,53,38
267,제주특별자치도,서귀포시,52,33
268,이어도,,28,8
